hand1,hand2,flop,turn,river,flop_quality,flop_dynamic_score
"['Kd', 'Jd']","['8h', '8s']","['4s', 'Td', 'As']",['2c'],['Ts'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kc', 'Jc']","['8s', '7s']","['6d', 'Qd', '5h']",['5d'],['2s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Jd']","['8s', '6s']","['Td', '8d', '4d']",['4c'],['9d'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['Kc', 'Jc']","['8s', '5s']","['6c', '8d', 'Js']",['Jd'],['8c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kc', 'Jc']","['8s', '4s']","['6c', '9s', 'Qd']",['2h'],['Th'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kd', 'Jd']","['8h', '3h']","['4d', '8d', '7h']",['Kc'],['9s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kd', 'Jd']","['8c', '2c']","['3c', 'Ac', '4h']",['9s'],['3d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kh', 'Jh']","['Ah', '7d']","['3h', '7s', '9d']",['Kc'],['9s'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Kc', 'Jc']","['Ks', '7d']","['Qs', '5c', '2s']",['As'],['Qh'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kh', 'Jh']","['Qs', '7d']","['8s', '9c', '3d']",['3h'],['3c'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Kd', 'Jd']","['Jh', '7c']","['5h', '5c', '7h']",['2s'],['Jc'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Kh', 'Jh']","['Tc', '7h']","['Th', '5d', '7d']",['Ah'],['2c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Jh']","['9s', '7h']","['Ts', '2s', '7s']",['Jd'],['6s'],"['Disconnected', 'Monotone', 'Unpaired']",3.0
"['Kd', 'Jd']","['8c', '7h']","['8h', '7s', 'Ts']",['9c'],['7d'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Kh', 'Jh']","['7h', '7c']","['5c', '4h', '8c']",['2d'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kc', 'Jc']","['7s', '6s']","['Qs', 'Qc', '4h']",['4d'],['6h'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Ks', 'Js']","['7s', '5s']","['2c', '5h', 'Ah']",['6c'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Jd']","['7c', '4c']","['2h', 'Kh', '4h']",['Qh'],['Th'],"['Moderately connected', 'Monotone', 'Unpaired', 'King high']",4.5
"['Kc', 'Jc']","['7h', '3h']","['Ah', '5h', '2h']",['6h'],['Kd'],"['Moderately connected', 'Monotone', 'Unpaired', 'Ace high']",4.5
"['Kh', 'Jh']","['7d', '2d']","['9s', '3h', 'Qh']",['8h'],['6s'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kd', 'Jd']","['Ad', '6s']","['5d', 'Kh', '7d']",['4s'],['Ah'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kc', 'Jc']","['Kd', '6c']","['Td', '8c', 'Kh']",['4h'],['2s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kh', 'Jh']","['Qh', '6d']","['Kd', 'As', 'Qd']",['6s'],['9c'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['Kc', 'Jc']","['Js', '6s']","['6d', '2c', '8c']",['Ks'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kc', 'Jc']","['Ts', '6h']","['2c', 'Ks', '4d']",['Ac'],['6s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ks', 'Js']","['9h', '6d']","['Tc', '5d', 'Th']",['Qd'],['4h'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kh', 'Jh']","['8h', '6c']","['9s', 'Ks', 'Qs']",['3c'],['6h'],"['Moderately connected', 'Monotone', 'Unpaired', 'King high']",4.5
"['Ks', 'Js']","['7c', '6h']","['6d', 'Ts', '8d']",['8h'],['2s'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Ks', 'Js']","['6s', '6d']","['4c', '9c', '5s']",['7c'],['5c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kd', 'Jd']","['6h', '5h']","['Tc', '4h', '7s']",['Ah'],['Qd'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kh', 'Jh']","['6c', '4c']","['Jd', 'Qd', '4s']",['8c'],['7s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Js']","['6d', '3d']","['3s', 'Th', '9d']",['As'],['Jd'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kd', 'Jd']","['6d', '2d']","['Ks', 'Kc', '7h']",['3s'],['Qh'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['Ks', 'Js']","['As', '5d']","['8d', '3c', 'Jh']",['3d'],['7h'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kh', 'Jh']","['Kc', '5d']","['2s', '2h', '4d']",['4s'],['7d'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Kc', 'Jc']","['Qc', '5h']","['Qd', 'Ks', 'Jh']",['Ac'],['2c'],"['Highly connected', 'Rainbow', 'Unpaired', 'King high']",3.0
"['Ks', 'Js']","['Jh', '5c']","['As', '8c', 'Kc']",['3c'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Jd']","['Th', '5s']","['6s', '3c', 'Kc']",['Ac'],['Qh'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Kh', 'Jh']","['9h', '5d']","['2c', '2s', '5s']",['7d'],['Ah'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['Kh', 'Jh']","['8s', '5h']","['5s', '2h', '4s']",['Tc'],['2c'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ks', 'Js']","['7h', '5c']","['Jh', '7s', 'Qd']",['6c'],['Kd'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Js']","['6s', '5h']","['2c', 'Ah', '2h']",['7d'],['Jd'],"['Moderately connected', 'Two-tone', 'Paired', 'Ace high']",4.0
"['Kd', 'Jd']","['5h', '5d']","['Jc', '2c', 'Td']",['9c'],['7s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Jd']","['5s', '4s']","['9s', '7c', '8d']",['9d'],['Jc'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Ks', 'Js']","['5d', '3d']","['2s', 'Kc', '9c']",['Ad'],['9d'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Kh', 'Jh']","['5c', '2c']","['2s', '3s', 'Ts']",['4h'],['3c'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['Kh', 'Jh']","['As', '4c']","['6h', '9d', 'Ah']",['3s'],['8h'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kd', 'Jd']","['Ks', '4s']","['5d', '7d', '8s']",['7c'],['8d'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Kc', 'Jc']","['Qd', '4s']","['5d', 'Qh', '4d']",['6s'],['6h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kc', 'Jc']","['Jd', '4c']","['Th', '3h', '9c']",['6c'],['5d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Jh']","['Td', '4h']","['Jc', '4d', '2h']",['Tc'],['3s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Js']","['9d', '4h']","['As', '2h', 'Td']",['3s'],['4s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kc', 'Jc']","['8d', '4s']","['9h', '5h', '3s']",['Ks'],['7c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kh', 'Jh']","['7d', '4s']","['8d', 'Qh', '6c']",['Ts'],['5c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Js']","['6d', '4h']","['9s', '3s', '5s']",['Ts'],['Qc'],"['Moderately connected', 'Monotone', 'Unpaired']",5.25
"['Kd', 'Jd']","['5s', '4c']","['Tc', 'Ts', '4h']",['3c'],['8d'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Ks', 'Js']","['4d', '4h']","['2s', 'Kc', '8d']",['3h'],['6d'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Ks', 'Js']","['4d', '3d']","['Ac', 'Ah', '5d']",['8c'],['Tc'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['Ks', 'Js']","['4c', '2c']","['6h', '2s', '9s']",['7h'],['Kh'],"['Disconnected', 'Two-tone', 'Unpaired']",2.25
"['Kc', 'Jc']","['Ad', '3c']","['Ks', '9h', '9d']",['4d'],['5c'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['Kh', 'Jh']","['Ks', '3s']","['6d', '9c', 'Js']",['Qd'],['3d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kh', 'Jh']","['Qh', '3d']","['4d', 'Jd', 'Jc']",['2d'],['Qd'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Ks', 'Js']","['Jc', '3d']","['7c', '9c', 'Ah']",['7h'],['Tc'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ks', 'Js']","['Ts', '3d']","['7s', 'Qd', 'Qh']",['Kh'],['9c'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Ks', 'Js']","['9h', '3d']","['Qc', '9d', 'Ts']",['Jh'],['8h'],"['Highly connected', 'Rainbow', 'Unpaired']",3.0
"['Kd', 'Jd']","['8c', '3d']","['8h', '2s', '6h']",['Td'],['3c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Js']","['7c', '3d']","['Ac', 'As', 'Jd']",['8h'],['7d'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['Ks', 'Js']","['6h', '3s']","['8d', '8s', '3c']",['Th'],['5c'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Kc', 'Jc']","['5d', '3h']","['3d', 'Ah', 'Qd']",['8s'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kh', 'Jh']","['4h', '3s']","['Qs', '8d', 'Ad']",['9c'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Jc']","['3c', '3s']","['Jh', 'Kh', '8s']",['4c'],['6d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kh', 'Jh']","['3h', '2h']","['As', 'Ts', '7h']",['Td'],['2c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Js']","['Ac', '2s']","['Td', 'Qc', '8d']",['6h'],['Qd'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Kd', 'Jd']","['Kh', '2c']","['6s', '4h', 'Jc']",['4d'],['5c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Js']","['Qs', '2h']","['7s', '3s', '7d']",['Ac'],['Kc'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['Kd', 'Jd']","['Js', '2d']","['Qc', '7s', '7h']",['Ks'],['7c'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kh', 'Jh']","['Ts', '2d']","['2c', '7h', 'As']",['Js'],['Qc'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Js']","['9d', '2s']","['As', 'Qh', 'Ac']",['2c'],['Jc'],"['Moderately connected', 'Rainbow', 'Paired', 'Ace high']",2.5
"['Kh', 'Jh']","['8c', '2d']","['Qh', '4s', '9s']",['5s'],['Qd'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kh', 'Jh']","['7d', '2h']","['7c', 'Qd', '7h']",['5s'],['Ah'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kh', 'Jh']","['6c', '2s']","['3s', '3h', '9h']",['Tc'],['8d'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['Kh', 'Jh']","['5d', '2s']","['7c', '8h', 'Ts']",['Th'],['Ad'],"['Highly connected', 'Rainbow', 'Unpaired']",3.0
"['Kd', 'Jd']","['4s', '2c']","['Ad', '3d', '6h']",['6s'],['Th'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Js']","['3d', '2s']","['Qs', '4d', 'As']",['Ts'],['Kc'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Jd']","['2h', '2s']","['Jc', '4c', 'Ts']",['3h'],['Ah'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Th']","['Ks', '9s']","['6s', '7c', 'Kd']",['Ad'],['Ts'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kd', 'Td']","['Kc', '8c']","['5s', 'Jd', 'Js']",['9s'],['Th'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Ks', 'Ts']","['Kh', '7h']","['Qc', '4h', '4c']",['8s'],['Jh'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kh', 'Th']","['Kc', '6c']","['Ah', 'Qh', '9d']",['3h'],['2h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Td']","['Ks', '5d']","['Qd', 'Kc', '9s']",['4s'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kd', 'Td']","['Ks', '4d']","['Jh', '4s', '2c']",['5s'],['Qs'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kd', 'Td']","['Ks', '3d']","['9c', '8s', 'Ad']",['Ac'],['Kc'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Th']","['Kc', '2c']","['7s', 'Ac', '5c']",['Qh'],['Ad'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ks', 'Ts']","['Ac', 'Qd']","['8c', '9c', '9d']",['Qh'],['Jc'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Ks', 'Ts']","['Kh', 'Qs']","['6d', 'Qd', 'Th']",['4c'],['Js'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Td']","['Qd', 'Qs']","['6s', 'Qc', 'As']",['6d'],['Jh'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kh', 'Th']","['Qd', 'Jd']","['Ad', 'Jh', 'Ts']",['2h'],['8h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Th']","['Qh', 'Ts']","['6h', 'Jh', 'Ad']",['4d'],['As'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Th']","['Qh', '9h']","['8c', '3d', '2h']",['Td'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ks', 'Ts']","['Qh', '8h']","['4h', '4c', '5h']",['4s'],['2c'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Kc', 'Tc']","['Qh', '7h']","['8c', '4d', 'Qd']",['4s'],['6c'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kh', 'Th']","['Qs', '6s']","['Ah', '2c', 'Td']",['Jc'],['9c'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kd', 'Td']","['Qc', '5c']","['2s', 'Th', 'Jh']",['7d'],['7c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Th']","['Qh', '4h']","['8s', '3d', '5h']",['7c'],['8h'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ks', 'Ts']","['Qh', '3h']","['2h', '4h', 'Ad']",['Jc'],['Kd'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['Ks', 'Ts']","['Qd', '2d']","['7d', 'Qh', '3s']",['Qc'],['4h'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kd', 'Td']","['Ad', 'Jh']","['3d', '2s', 'Kh']",['5h'],['Jc'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kc', 'Tc']","['Ks', 'Jh']","['6h', '9d', '8c']",['6c'],['8d'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Kc', 'Tc']","['Qs', 'Jd']","['5s', '7h', '4h']",['9d'],['9s'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Kh', 'Th']","['Jc', 'Js']","['5h', 'Jh', '4d']",['7c'],['3h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Ts']","['Jh', 'Th']","['8c', 'Jc', 'Qc']",['8s'],['7c'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['Kh', 'Th']","['Jh', '9h']","['Jc', '9c', '7h']",['2d'],['5s'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Kh', 'Th']","['Jc', '8c']","['6c', 'Kd', 'Qd']",['9s'],['As'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kh', 'Th']","['Js', '7s']","['Qd', 'Ks', '8s']",['Ah'],['4s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kc', 'Tc']","['Js', '6s']","['4s', 'As', '8s']",['7d'],['5s'],"['Disconnected', 'Monotone', 'Unpaired', 'Ace high']",3.0
"['Kh', 'Th']","['Jd', '5d']","['4d', '9c', '8h']",['Ad'],['2d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ks', 'Ts']","['Jd', '4d']","['As', '5c', '9d']",['Td'],['Kh'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Kc', 'Tc']","['Js', '3s']","['3h', '4h', '4d']",['7c'],['6h'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Kd', 'Td']","['Jd', '2d']","['Js', 'Jh', '3d']",['6c'],['Ts'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kc', 'Tc']","['Ad', 'Th']","['4d', '8d', '5c']",['8s'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kd', 'Td']","['Ks', 'Tc']","['7s', '4d', 'Kc']",['6h'],['4h'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Kc', 'Tc']","['Qc', 'Th']","['9c', '7s', '6c']",['8s'],['Qd'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Kh', 'Th']","['Jh', 'Td']","['Js', '6s', '9c']",['Jd'],['Qh'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Th']","['Ts', 'Td']","['7h', '3h', '9d']",['2c'],['Jc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kd', 'Td']","['Ts', '9s']","['2d', 'Jc', '2c']",['4d'],['4s'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Ks', 'Ts']","['Td', '8d']","['Kd', '5s', '6h']",['Kc'],['Kh'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kd', 'Td']","['Ts', '7s']","['Qh', '2s', '5h']",['9d'],['Qd'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kh', 'Th']","['Tc', '6c']","['4c', '7c', '3h']",['5h'],['Qh'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kd', 'Td']","['Tc', '5c']","['Ts', 'Qc', '3c']",['6h'],['7c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Td']","['Ts', '4s']","['9h', 'Jc', '2d']",['Ks'],['9c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kc', 'Tc']","['Ts', '3s']","['Js', '5c', 'Qs']",['5d'],['3h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Th']","['Ts', '2s']","['Td', '3c', '8d']",['5s'],['As'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Th']","['As', '9d']","['Ad', '3s', '2c']",['4s'],['4h'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Tc']","['Kd', '9c']","['Js', 'As', '6h']",['6s'],['4c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Th']","['Qh', '9c']","['5s', 'As', 'Jc']",['9s'],['3c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kd', 'Td']","['Js', '9d']","['8s', '3c', 'Th']",['3h'],['6s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Ts']","['Td', '9h']","['5s', '2d', '4s']",['7h'],['Ah'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ks', 'Ts']","['9d', '9c']","['Qh', '5c', 'Jc']",['Ad'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Th']","['9h', '8h']","['5h', 'Qs', '4d']",['4c'],['Kc'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kd', 'Td']","['9c', '7c']","['Jd', 'Qd', 'Ks']",['Ad'],['Jh'],"['Highly connected', 'Two-tone', 'Unpaired', 'King high']",4.5
"['Kd', 'Td']","['9d', '6d']","['Qh', '8h', '9h']",['4c'],['5h'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['Kc', 'Tc']","['9h', '5h']","['Qd', '9s', '9c']",['6s'],['4s'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Ks', 'Ts']","['9h', '4h']","['Ad', 'Ac', 'Kh']",['3h'],['3s'],"['Moderately connected', 'Rainbow', 'Paired', 'Ace high']",2.5
"['Kh', 'Th']","['9c', '3c']","['Kc', 'Qc', '3h']",['3d'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kc', 'Tc']","['9h', '2h']","['Td', 'Qs', '3d']",['2d'],['Th'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kc', 'Tc']","['As', '8h']","['Ah', '7d', '7s']",['7h'],['Th'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['Kc', 'Tc']","['Ks', '8d']","['Kh', '7h', '8h']",['Ah'],['2s'],"['Moderately connected', 'Monotone', 'Unpaired', 'King high']",4.5
"['Kc', 'Tc']","['Qd', '8c']","['Qh', '9c', 'Ah']",['8h'],['Td'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Tc']","['Jd', '8c']","['Ac', '8d', '7c']",['Ah'],['6d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ks', 'Ts']","['Th', '8c']","['5s', '7d', 'Kh']",['6c'],['Tc'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kd', 'Td']","['9h', '8s']","['5h', '3s', '4c']",['3h'],['3c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Kd', 'Td']","['8c', '8d']","['Ts', 'Jc', '9s']",['9d'],['8h'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Kd', 'Td']","['8s', '7s']","['3d', 'Kc', '9h']",['9d'],['5s'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Kh', 'Th']","['8d', '6d']","['6c', '7d', '2d']",['5c'],['9c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Ts']","['8h', '5h']","['7h', '8s', '5d']",['7s'],['5c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Kc', 'Tc']","['8c', '4c']","['Jd', '8s', 'Js']",['As'],['6c'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kc', 'Tc']","['8d', '3d']","['5s', '4c', '4d']",['6h'],['4h'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Kc', 'Tc']","['8s', '2s']","['9s', '5d', '5s']",['2h'],['Qd'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['Kd', 'Td']","['Ad', '7c']","['8h', '4h', '2c']",['5s'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Ts']","['Kh', '7c']","['7s', '4h', 'Jc']",['2c'],['Jd'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kd', 'Td']","['Qc', '7h']","['Ts', '7c', 'Qs']",['7d'],['Jc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Td']","['Jc', '7h']","['8c', 'Jd', '3c']",['Qd'],['6c'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kd', 'Td']","['Th', '7d']","['8s', '4h', '4s']",['Ad'],['5s'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['Kd', 'Td']","['9s', '7d']","['2c', '4c', 'Qd']",['Tc'],['Jd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Ts']","['8s', '7c']","['Th', '3d', '6s']",['Tc'],['9c'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ks', 'Ts']","['7c', '7h']","['Qd', '5h', 'Tc']",['5s'],['4s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kc', 'Tc']","['7d', '6d']","['2d', 'Ad', '7h']",['5d'],['Qh'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kh', 'Th']","['7s', '5s']","['3h', '9d', 'Jc']",['3s'],['Ac'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kh', 'Th']","['7c', '4c']","['Ks', '4d', '5h']",['9h'],['Jd'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kh', 'Th']","['7s', '3s']","['8s', 'Ks', '4d']",['Tc'],['5c'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Kc', 'Tc']","['7c', '2c']","['Th', 'Ks', 'Kh']",['7d'],['6d'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Kh', 'Th']","['As', '6d']","['4h', '9s', '7d']",['Kc'],['Qd'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Kh', 'Th']","['Ks', '6h']","['Js', '2d', '9s']",['As'],['4s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Ts']","['Qd', '6h']","['Jh', '3d', '3s']",['6c'],['3c'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kd', 'Td']","['Jh', '6d']","['Qc', '8d', 'Ac']",['7d'],['7s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Tc']","['Th', '6s']","['8h', 'Jc', '5c']",['As'],['3s'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kc', 'Tc']","['9c', '6h']","['8s', '4c', 'Qd']",['8c'],['7s'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
